code,quantity,creator_id,created_at,updated_at,deleted_at,manufacture_product_id,manufacture_dept_id,task_id,order_id
6365b84ea86be1667610702,214.000000,400,2022-11-05 13:18:07+00:00,2022-11-07 10:56:08+00:00,,433,3,125,1933
6365b84ea86be1667610702,115.000000,400,2022-11-05 13:18:07+00:00,2022-11-05 13:18:07+00:00,,434,3,125,1933
6365b84ea86be1667610702,114.000000,400,2022-11-05 13:18:07+00:00,2022-11-05 13:18:07+00:00,,435,3,125,1933
6365b84ea86be1667610702,114.000000,400,2022-11-05 13:18:07+00:00,2022-11-05 13:18:07+00:00,,436,3,125,1933
6365b2e723b261667609319,114.000000,400,2022-11-05 13:29:09+00:00,2022-11-05 13:29:09+00:00,,423,3,118,2021
6365b2e723b261667609319,112.000000,400,2022-11-05 13:29:09+00:00,2022-11-05 13:29:09+00:00,,424,3,118,2021
6365b699276e61667610265,117.000000,400,2022-11-05 13:36:03+00:00,2022-11-05 13:36:03+00:00,,431,3,123,2069
6364bb58cf0231667545944,100.000000,400,2022-11-07 08:43:57+00:00,2022-11-07 08:43:57+00:00,,352,3,97,2112
6365b99c4359d1667611036,202.000000,400,2022-11-07 10:41:13+00:00,2022-11-08 09:48:48+00:00,,438,3,127,2035
6365b435a84701667609653,201.000000,400,2022-11-07 10:45:13+00:00,2022-11-07 10:45:13+00:00,,427,3,121,1961
6361c5a7ecb671667351975,102.000000,400,2022-11-08 07:55:33+00:00,2022-11-08 08:07:21+00:00,,17,3,3,2126
6361c5a7ecb671667351975,102.000000,400,2022-11-08 07:56:20+00:00,2022-11-08 08:07:21+00:00,,18,3,3,2126
6361c5a7ecb671667351975,102.000000,400,2022-11-08 07:58:06+00:00,2022-11-08 08:07:21+00:00,,19,3,3,2126
6361c5a7ecb671667351975,67.000000,400,2022-11-08 08:07:21+00:00,2022-11-08 08:07:21+00:00,,20,3,3,2126
6361c5a7ecb671667351975,150.000000,400,2022-11-08 08:07:21+00:00,2022-11-08 08:07:21+00:00,,21,3,3,2126
6361c5a7ecb671667351975,102.000000,400,2022-11-08 08:07:21+00:00,2022-11-08 08:14:54+00:00,,22,3,3,2126
6361c5a7ecb671667351975,67.000000,400,2022-11-08 08:07:21+00:00,2022-11-08 08:07:21+00:00,,23,3,3,2126
