creator_id,created_at,updated_at,deleted_at,task_id,parent_task_id
366,2022-11-02 08:29:37+00:00,2022-11-02 08:29:37+00:00,,5,3
366,2022-11-02 08:30:02+00:00,2022-11-02 08:30:02+00:00,,4,3
366,2022-11-02 08:30:02+00:00,2022-11-02 08:30:02+00:00,,4,5
366,2022-11-02 08:34:55+00:00,2022-11-02 08:34:55+00:00,,6,3
366,2022-11-02 08:34:55+00:00,2022-11-02 08:34:55+00:00,,6,5
366,2022-11-02 08:34:55+00:00,2022-11-02 08:34:55+00:00,,6,4
366,2022-11-02 10:21:58+00:00,2022-11-02 10:21:58+00:00,,9,7
366,2022-11-02 10:22:11+00:00,2022-11-02 10:22:11+00:00,,8,7
366,2022-11-02 10:22:11+00:00,2022-11-02 10:22:11+00:00,,8,9
366,2022-11-02 10:27:04+00:00,2022-11-02 10:27:04+00:00,,10,7
366,2022-11-02 10:27:04+00:00,2022-11-02 10:27:04+00:00,,10,9
366,2022-11-02 10:27:04+00:00,2022-11-02 10:27:04+00:00,,10,8
368,2022-11-02 13:09:14+00:00,2022-11-02 13:09:14+00:00,,15,14
368,2022-11-02 13:23:45+00:00,2022-11-02 13:23:45+00:00,,14,17
368,2022-11-02 14:08:13+00:00,2022-11-02 14:08:13+00:00,,16,15
368,2022-11-03 12:33:24+00:00,2022-11-03 12:33:24+00:00,,22,21
150,2022-11-03 12:37:23+00:00,2022-11-03 12:37:23+00:00,,17,14
150,2022-11-03 12:37:23+00:00,2022-11-03 12:37:23+00:00,,17,15
150,2022-11-03 12:37:23+00:00,2022-11-03 12:37:23+00:00,,17,16
369,2022-11-03 15:47:44+00:00,2022-11-03 15:47:44+00:00,,34,31
369,2022-11-03 15:47:44+00:00,2022-11-03 15:47:44+00:00,,34,32
369,2022-11-03 15:47:44+00:00,2022-11-03 15:47:44+00:00,,34,33
369,2022-11-03 15:56:27+00:00,2022-11-03 15:56:27+00:00,,38,35
369,2022-11-03 15:56:27+00:00,2022-11-03 15:56:27+00:00,,38,36
369,2022-11-03 15:56:28+00:00,2022-11-03 15:56:28+00:00,,38,37
369,2022-11-03 16:05:38+00:00,2022-11-03 16:05:38+00:00,,42,39
369,2022-11-03 16:05:38+00:00,2022-11-03 16:05:38+00:00,,42,40
369,2022-11-03 16:05:38+00:00,2022-11-03 16:05:38+00:00,,42,41
369,2022-11-03 16:10:51+00:00,2022-11-03 16:10:51+00:00,,46,43
369,2022-11-03 16:10:51+00:00,2022-11-03 16:10:51+00:00,,46,44
369,2022-11-03 16:10:51+00:00,2022-11-03 16:10:51+00:00,,46,45
369,2022-11-03 16:18:36+00:00,2022-11-03 16:18:36+00:00,,50,47
369,2022-11-03 16:18:36+00:00,2022-11-03 16:18:36+00:00,,50,48
369,2022-11-03 16:18:36+00:00,2022-11-03 16:18:36+00:00,,50,49
369,2022-11-04 09:27:26+00:00,2022-11-04 09:27:26+00:00,,61,58
369,2022-11-04 09:27:26+00:00,2022-11-04 09:27:26+00:00,,61,59
369,2022-11-04 09:27:26+00:00,2022-11-04 09:27:26+00:00,,61,60
369,2022-11-04 09:49:22+00:00,2022-11-04 09:49:22+00:00,,65,62
369,2022-11-04 09:49:22+00:00,2022-11-04 09:49:22+00:00,,65,63
369,2022-11-04 09:49:22+00:00,2022-11-04 09:49:22+00:00,,65,64
369,2022-11-04 10:02:20+00:00,2022-11-04 10:02:20+00:00,,69,66
369,2022-11-04 10:02:20+00:00,2022-11-04 10:02:20+00:00,,69,67
369,2022-11-04 10:02:20+00:00,2022-11-04 10:02:20+00:00,,69,68
369,2022-11-04 10:07:19+00:00,2022-11-04 10:07:19+00:00,,73,70
369,2022-11-04 10:07:19+00:00,2022-11-04 10:07:19+00:00,,73,71
369,2022-11-04 10:07:19+00:00,2022-11-04 10:07:19+00:00,,73,72
369,2022-11-04 12:35:54+00:00,2022-11-04 12:35:54+00:00,,77,76
369,2022-11-04 12:37:10+00:00,2022-11-04 12:37:10+00:00,,78,75
369,2022-11-04 12:39:36+00:00,2022-11-04 12:39:36+00:00,,80,79
369,2022-11-04 12:46:29+00:00,2022-11-04 12:46:29+00:00,,84,81
369,2022-11-04 12:46:29+00:00,2022-11-04 12:46:29+00:00,,84,82
369,2022-11-04 12:46:29+00:00,2022-11-04 12:46:29+00:00,,84,83
369,2022-11-04 12:52:23+00:00,2022-11-04 12:52:23+00:00,,88,85
369,2022-11-04 12:52:23+00:00,2022-11-04 12:52:23+00:00,,88,86
369,2022-11-04 12:52:23+00:00,2022-11-04 12:52:23+00:00,,88,87
369,2022-11-04 12:55:12+00:00,2022-11-04 12:55:12+00:00,,89,74
369,2022-11-04 13:13:00+00:00,2022-11-04 13:13:00+00:00,,93,90
369,2022-11-04 13:13:00+00:00,2022-11-04 13:13:00+00:00,,93,91
369,2022-11-04 13:13:00+00:00,2022-11-04 13:13:00+00:00,,93,92
369,2022-11-04 15:02:15+00:00,2022-11-04 15:02:15+00:00,,99,97
369,2022-11-04 15:02:15+00:00,2022-11-04 15:02:15+00:00,,99,98
369,2022-11-04 15:35:29+00:00,2022-11-04 15:35:29+00:00,,107,104
369,2022-11-04 15:35:29+00:00,2022-11-04 15:35:29+00:00,,107,105
369,2022-11-04 15:35:29+00:00,2022-11-04 15:35:29+00:00,,107,106
369,2022-11-04 15:49:11+00:00,2022-11-04 15:49:11+00:00,,109,108
369,2022-11-04 15:56:51+00:00,2022-11-04 15:56:51+00:00,,111,110
369,2022-11-04 16:09:42+00:00,2022-11-04 16:09:42+00:00,,115,114
369,2022-11-05 07:40:11+00:00,2022-11-05 07:40:11+00:00,,117,116
369,2022-11-05 07:51:17+00:00,2022-11-05 07:51:17+00:00,,120,118
369,2022-11-05 07:51:17+00:00,2022-11-05 07:51:17+00:00,,120,119
369,2022-11-05 07:56:42+00:00,2022-11-05 07:56:42+00:00,,122,121
369,2022-11-05 08:05:48+00:00,2022-11-05 08:05:48+00:00,,124,123
369,2022-11-05 08:14:30+00:00,2022-11-05 08:14:30+00:00,,126,125
369,2022-11-05 08:19:10+00:00,2022-11-05 08:19:10+00:00,,128,127
369,2022-11-05 08:43:49+00:00,2022-11-05 08:43:49+00:00,,132,129
369,2022-11-05 08:43:49+00:00,2022-11-05 08:43:49+00:00,,132,130
