id,name,qrcode,quantity,created_at,updated_at,deleted_at,task_id,position
17,Vải da lộn Black số 13 ép vải kate Black,1667352018-QR-BTP-17,101.000000,2022-11-02 08:20:18+00:00,2022-11-02 08:20:18+00:00,,3,Mặt
18,"Vải lưới DM-3090 44"" Black - Độ cứng 7%",1667352018-QR-BTP-18,101.000000,2022-11-02 08:20:18+00:00,2022-11-02 08:20:18+00:00,,3,Hông + Đuôi
19,Vải da lộn Black số 13 ép lưới màn 80G Black,1667352018-QR-BTP-19,101.000000,2022-11-02 08:20:18+00:00,2022-11-02 08:20:18+00:00,,3,Két trên + Két dưới+Nút
20,Đai da lộn 4 đường 3.0cm Black số 13 ép lưới màn 80G black úp mí lót gòn,1667352018-QR-BTP-20,67.000000,2022-11-02 08:20:18+00:00,2022-11-02 08:20:18+00:00,,3,Đai
21,Viền 2.8cm Kate Black,1667352018-QR-BTP-21,150.000000,2022-11-02 08:20:18+00:00,2022-11-02 08:20:19+00:00,,3,Viền
22,Keo M832 Black,1667352019-QR-BTP-22,101.000000,2022-11-02 08:20:19+00:00,2022-11-02 08:20:19+00:00,,3,Keo dựng mặt
23,Dây size felt 7mm Black,1667352019-QR-BTP-23,67.000000,2022-11-02 08:20:19+00:00,2022-11-02 08:20:19+00:00,,3,Dây size
24,Felt Black,1667352019-QR-BTP-24,101.000000,2022-11-02 08:20:19+00:00,2022-11-02 08:20:19+00:00,,3,Felt CG đuôi
28,Ráp đuôi bỏ thêu,1667352577-QR-BTP-28,101.000000,2022-11-02 08:29:37+00:00,2022-11-02 08:29:37+00:00,,5,Đuôi
29,May bao + Quay két,1667352577-QR-BTP-29,101.000000,2022-11-02 08:29:37+00:00,2022-11-02 08:29:37+00:00,,5,Két TP
30,Mặt  thêu 3D,1667352601-QR-BTP-30,101.000000,2022-11-02 08:30:01+00:00,2022-11-02 08:30:01+00:00,,4,Mặt
31,Hông trái thêu logo DYC,1667352602-QR-BTP-31,101.000000,2022-11-02 08:30:02+00:00,2022-11-02 08:30:02+00:00,,4,Hông
32,Đuôi thêu flat cùng CG felt,1667352602-QR-BTP-32,101.000000,2022-11-02 08:30:02+00:00,2022-11-02 08:30:02+00:00,,4,Đuôi
33,BTP,1667352895-QR-BTP-33,101.000000,2022-11-02 08:34:55+00:00,2022-11-02 08:34:55+00:00,,6,BTP
45,May bao két + Quay két,1667359317-QR-BTP-45,252.000000,2022-11-02 10:21:57+00:00,2022-11-02 10:21:58+00:00,,9,Két TP
46,Ráp mặt bỏ thêu,1667359318-QR-BTP-46,252.000000,2022-11-02 10:21:58+00:00,2022-11-02 10:21:58+00:00,,9,Mặt
47,Ráp đuôi bỏ thêu,1667359318-QR-BTP-47,252.000000,2022-11-02 10:21:58+00:00,2022-11-02 10:21:58+00:00,,9,Đuôi
48,Mặt thêu chỉ dày & flat,1667359331-QR-BTP-48,252.000000,2022-11-02 10:22:11+00:00,2022-11-02 10:22:11+00:00,,8,Mặt
49,Hông trái thêu logo chữ DYC,1667359331-QR-BTP-49,252.000000,2022-11-02 10:22:11+00:00,2022-11-02 10:22:11+00:00,,8,Hông trái
50,Đuôi thêu flat,1667359331-QR-BTP-50,252.000000,2022-11-02 10:22:11+00:00,2022-11-02 10:22:11+00:00,,8,Đuôi
51,Vải Microfiber Black ép vải Kate Black,1667359513-QR-BTP-51,252.000000,2022-11-02 10:25:13+00:00,2022-11-02 10:25:13+00:00,,7,Mặt
52,Vải Microfiber Black ép lưới màn 28G Black,1667359513-QR-BTP-52,252.000000,2022-11-02 10:25:13+00:00,2022-11-02 10:25:13+00:00,,7,Hông đuôi đi đục lỗ lazer
53,Vải Microfiber Black ép lưới màn 28G,1667359513-QR-BTP-53,252.000000,2022-11-02 10:25:13+00:00,2022-11-02 10:25:13+00:00,,7,KT + KD + Nút
54,Đai Microfiber 4 đường 3.0cm Black ép lưới màn 28G Black úp mí lót gòn - lót giấy 80G Black,1667359513-QR-BTP-54,167.000000,2022-11-02 10:25:13+00:00,2022-11-02 10:25:13+00:00,,7,Đai
55,Vải Microfiber Black ép 80G black ( ép ở nhà),1667359513-QR-BTP-55,252.000000,2022-11-02 10:25:13+00:00,2022-11-02 10:25:13+00:00,,7,Dây khóa
56,Viền 2.8cm Microfiber Black,1667359513-QR-BTP-56,375.000000,2022-11-02 10:25:13+00:00,2022-11-02 10:25:14+00:00,,7,Viền 2.8
57,Keo M832 Black,1667359514-QR-BTP-57,252.000000,2022-11-02 10:25:14+00:00,2022-11-02 10:25:14+00:00,,7,Keo dựng mặt
58,Dây size felt 7mm Black,1667359514-QR-BTP-58,167.000000,2022-11-02 10:25:14+00:00,2022-11-02 10:25:14+00:00,,7,Dây size
59,Tất cả BTP của đơn hàng,1667359624-QR-BTP-59,252.000000,2022-11-02 10:27:04+00:00,2022-11-02 10:27:04+00:00,,10,ALL BTP
73,Két thành phẩm,1667369353-QR-BTP-73,603.000000,2022-11-02 13:09:13+00:00,2022-11-02 13:09:14+00:00,,15,Két
74,BTP mặt ráp,1667369354-QR-BTP-74,603.000000,2022-11-02 13:09:14+00:00,2022-11-02 13:09:14+00:00,,15,mặt ráp viền giấy
88,Vải Acrylic Wool spandex Black ép lưới màn 80G Black,1667370224-QR-BTP-88,603.000000,2022-11-02 13:23:44+00:00,2022-11-02 13:23:45+00:00,,14,Mặt + hông + két trên + két dưới
89,Vải Acrylic Wool spandex Black,1667370225-QR-BTP-89,603.000000,2022-11-02 13:23:45+00:00,2022-11-02 13:23:45+00:00,,14,Đuôi
90,Keo M832 Black,1667370225-QR-BTP-90,603.000000,2022-11-02 13:23:45+00:00,2022-11-02 13:23:45+00:00,,14,Keo
91,Đai thun cotton 4 chiều 4 đường 3.0cm Black úp mí lót dây 28mm 59PNT0101 White,1667370225-QR-BTP-91,380.000000,2022-11-02 13:23:45+00:00,2022-11-02 13:23:45+00:00,,14,Đai
92,Viền 2.8cm Kate Black in lụa,1667370225-QR-BTP-92,925.000000,2022-11-02 13:23:45+00:00,2022-11-02 13:23:45+00:00,,14,Viền
94,Mặt thêu,1667372893-QR-BTP-94,603.000000,2022-11-02 14:08:13+00:00,2022-11-02 14:08:13+00:00,,16,Mặt
95,Mặt Hông trái,1667441813-QR-BTP-95,200.000000,2022-11-03 09:16:53+00:00,2022-11-03 09:16:53+00:00,,18,Mặt Hông trái
96,Mặt hông phải,1667441814-QR-BTP-96,200.000000,2022-11-03 09:16:54+00:00,2022-11-03 09:16:54+00:00,,18,Mặt hông phải
97,Mặt,1667441814-QR-BTP-97,200.000000,2022-11-03 09:16:54+00:00,2022-11-03 09:16:54+00:00,,18,Mặt
98,Két trên,1667441814-QR-BTP-98,200.000000,2022-11-03 09:16:54+00:00,2022-11-03 09:16:54+00:00,,18,Két trên
99,Dây khóa,1667441814-QR-BTP-99,200.000000,2022-11-03 09:16:54+00:00,2022-11-03 09:16:54+00:00,,18,Dây khóa
105,Mặt,1667442320-QR-BTP-105,100.000000,2022-11-03 09:25:19+00:00,2022-11-03 09:25:20+00:00,,20,Mặt
106,Hông trái,1667442320-QR-BTP-106,100.000000,2022-11-03 09:25:20+00:00,2022-11-03 09:25:20+00:00,,20,Hông trái
107,Hông phải,1667442320-QR-BTP-107,100.000000,2022-11-03 09:25:20+00:00,2022-11-03 09:25:20+00:00,,20,Hông phải
108,Đuôi,1667442320-QR-BTP-108,100.000000,2022-11-03 09:25:20+00:00,2022-11-03 09:25:20+00:00,,20,Đuôi
109,Vải da lộn Mint số 194 (13-5414TCX) ép lưới màn 80G Black,1667453479-QR-BTP-109,113.000000,2022-11-03 12:31:19+00:00,2022-11-03 12:31:19+00:00,,21,Mặt + Hông + đuôi + Két trên + Két dưới + nút
110,Đai da lộn 4 đường 3.0cm Mint số 194 ép lưới màn 80G Black úp mí lót gòn,1667453479-QR-BTP-110,75.000000,2022-11-03 12:31:19+00:00,2022-11-03 12:31:19+00:00,,21,Đai
111,Viền 2.8cm Kate Black in lụa,1667453479-QR-BTP-111,182.000000,2022-11-03 12:31:19+00:00,2022-11-03 12:31:19+00:00,,21,Viền
112,Vải Cotton VAC06 Black (19-4007 TCX)=>in lụa,1667453479-QR-BTP-112,3.300000,2022-11-03 12:31:19+00:00,2022-11-03 12:31:19+00:00,,21,Mặt lót
113,Viền 1.7cm sandwhich cotton VAC06 Black,1667453479-QR-BTP-113,63.000000,2022-11-03 12:31:19+00:00,2022-11-03 12:31:19+00:00,,21,Sandwich
114,Dây size felt 7mm Black,1667453479-QR-BTP-114,75.000000,2022-11-03 12:31:19+00:00,2022-11-03 12:31:19+00:00,,21,Dây size
115,BTP Két,1667453604-QR-BTP-115,113.000000,2022-11-03 12:33:24+00:00,2022-11-03 12:33:24+00:00,,22,Két thành phẩm
116,Phối đồng bộ,1667453843-QR-BTP-116,603.000000,2022-11-03 12:37:23+00:00,2022-11-03 12:37:23+00:00,,17,Chóp+két
117,Mặt,1667457984-QR-BTP-117,100.000000,2022-11-03 13:46:24+00:00,2022-11-03 13:46:24+00:00,,23,Mặt
118,Hông trái,1667457984-QR-BTP-118,100.000000,2022-11-03 13:46:24+00:00,2022-11-03 13:46:24+00:00,,23,Hông trái
121,Mặt,1667458195-QR-BTP-121,101.000000,2022-11-03 13:49:55+00:00,2022-11-03 13:49:55+00:00,,24,Mặt
122,Hông trái,1667458195-QR-BTP-122,101.000000,2022-11-03 13:49:55+00:00,2022-11-03 13:49:56+00:00,,24,Hông trái
123,Mặt,1667458479-QR-BTP-123,101.000000,2022-11-03 13:54:39+00:00,2022-11-03 13:54:39+00:00,,25,Mặt
124,Mặt,1667462562-QR-BTP-124,101.000000,2022-11-03 15:02:42+00:00,2022-11-03 15:02:43+00:00,,26,Mặt
125,Hông trái,1667462563-QR-BTP-125,101.000000,2022-11-03 15:02:43+00:00,2022-11-03 15:02:43+00:00,,26,Hông trái
126,Mặt,1667462796-QR-BTP-126,101.000000,2022-11-03 15:06:36+00:00,2022-11-03 15:06:36+00:00,,27,Mặt
